url,tipo,etiqueta_html,alcance
https://abstract.wikipedia.org/wiki/Q52,enlace,<a href>,externa
https://ace.wikipedia.org/wiki/Wikip%C3%A8dia,enlace,<a href>,externa
https://acervo.bn.gov.br/sophia_web/autoridade/detalhe/000519726,enlace,<a href>,externa
https://ady.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D0%B5,enlace,<a href>,externa
https://af.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph640673,enlace,<a href>,externa
https://als.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://am.wikipedia.org/wiki/%E1%8B%8D%E1%8A%AD%E1%8D%94%E1%8B%B2%E1%8B%AB,enlace,<a href>,externa
https://an.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://ang.wikipedia.org/wiki/Wikip%C7%A3dia,enlace,<a href>,externa
https://ann.wikipedia.org/wiki/W%C3%ACk%C3%ACpedia,enlace,<a href>,externa
https://anp.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A4%BF%E0%A4%AA%E0%A5%80%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%BE,enlace,<a href>,externa
https://ar.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7,enlace,<a href>,externa
https://arc.wikipedia.org/wiki/%DC%98%DC%9D%DC%A9%DC%9D%DC%A6%DC%95%DC%9D%DC%90,enlace,<a href>,externa
https://archive.org/details/herecomeseverybo0000shir,enlace,<a href>,externa
https://archive.org/details/herecomeseverybo0000shir/page/273,enlace,<a href>,externa
https://arstechnica.com/information-technology/2008/10/wikipedia-adopts-ubuntu-for-its-server-infrastructure/,enlace,<a href>,externa
https://arxiv.org/abs/1502.02341,enlace,<a href>,externa
https://ary.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D9%BE%D9%8A%D8%AF%D9%8A%D8%A7,enlace,<a href>,externa
https://arz.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7,enlace,<a href>,externa
https://as.wikipedia.org/wiki/%E0%A7%B1%E0%A6%BF%E0%A6%95%E0%A6%BF%E0%A6%AA%E0%A6%BF%E0%A6%A1%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE,enlace,<a href>,externa
https://ast.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://atj.wikipedia.org/wiki/Wikipetcia,enlace,<a href>,externa
https://authority.bibsys.no/authority/rest/authorities/html/8030646,enlace,<a href>,externa
https://av.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F,enlace,<a href>,externa
https://awa.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A4%BF%E0%A4%AA%E0%A5%80%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%BE,enlace,<a href>,externa
https://ay.wikipedia.org/wiki/Wikipidiya,enlace,<a href>,externa
https://az.wikipedia.org/wiki/Vikipediya,enlace,<a href>,externa
https://azb.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%E2%80%8C%D9%BE%D8%AF%DB%8C%D8%A7,enlace,<a href>,externa
https://ba.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F,enlace,<a href>,externa
https://ban.wikipedia.org/wiki/Wikip%C3%A9dia,enlace,<a href>,externa
https://bar.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://bat-smg.wikipedia.org/wiki/Vikiped%C4%97j%C4%97,enlace,<a href>,externa
https://bbc.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://bcl.wikipedia.org/wiki/Wikipedya,enlace,<a href>,externa
